Year,Date,Stage,Course,Distance,Type,Winner
1994,09/07/1994,7,Rennes to Futuroscope,259.5 km (161.2 mi),Plain stage,Ján Svorada (SVK)
1994,10/07/1994,8,Poitiers to Trélissac,218.5 km (135.8 mi),Plain stage,Bo Hamburger (DEN)
1994,11/07/1994,9,Périgueux to Bergerac,64.0 km (39.8 mi),Individual time trial,Miguel Induráin (ESP)
1994,12/07/1994,10,Bergerac to Cahors,160.5 km (99.7 mi),Plain stage,Jacky Durand (FRA)
1994,13/07/1994,11,Cahors to Hautacam,263.5 km (163.7 mi),Stage with mountain(s),Luc Leblanc (FRA)
1994,15/07/1994,12,Lourdes to Luz Ardiden,204.5 km (127.1 mi),Stage with mountain(s),Richard Virenque (FRA)
1994,16/07/1994,13,Bagnères-de-Bigorre to Albi,223.0 km (138.6 mi),Plain stage,Bjarne Riis (DEN)
1994,17/07/1994,14,Castres to Montpellier,202.0 km (125.5 mi),Plain stage,Rolf Sørensen (DEN)
1994,18/07/1994,15,Montpellier to Carpentras,231.0 km (143.5 mi),Stage with mountain(s),Eros Poli (ITA)
1994,19/07/1994,16,Valréas to Alpe d'Huez,224.5 km (139.5 mi),Stage with mountain(s),Roberto Conti (ITA)
1994,20/07/1994,17,Le Bourg-d'Oisans to Val Thorens,149.0 km (92.6 mi),Stage with mountain(s),Nelson Rodríguez (COL)
1994,21/07/1994,18,Moutiers to Cluses,174.5 km (108.4 mi),Stage with mountain(s),Piotr Ugrumov (LAT)
1994,22/07/1994,19,Cluses to Avoriaz,47.5 km (29.5 mi),Mountain time trial,Piotr Ugrumov (LAT)
1994,23/07/1994,20,Morzine to Lac Saint-Point,208.5 km (129.6 mi),Hilly stage,Djamolidine Abdoujaparov (UZB)
1994,24/07/1994,21,Disneyland Paris to Paris (Champs-Élysées),175.0 km (108.7 mi),Plain stage,Eddy Seigneur (FRA)
1995,01/07/1995,P,Saint-Brieuc,7.3 km (4.5 mi),Individual time trial,Jacky Durand (FRA)
1995,02/07/1995,1,Dinan to Lannion,233.5 km (145.1 mi),Plain stage,Fabio Baldato (ITA)
1995,03/07/1995,2,Perros-Guirec to Vitre,235.5 km (146.3 mi),Plain stage,Mario Cipollini (ITA)
1995,04/07/1995,3,Mayenne to Alençon,67.0 km (41.6 mi),Team time trial,Gewiss–Ballan
1995,05/07/1995,4,Alençon to Le Havre,162.0 km (100.7 mi),Plain stage,Mario Cipollini (ITA)
1995,06/07/1995,5,Fécamp to Dunkirk,261.0 km (162.2 mi),Plain stage,Jeroen Blijlevens (NED)
1995,07/07/1995,6,Dunkirk to Charleroi (Belgium),202.0 km (125.5 mi),Plain stage,Erik Zabel (GER)
1995,08/07/1995,7,Charleroi (Belgium) to Liège (Belgium),203.0 km (126.1 mi),Hilly stage,Johan Bruyneel (BEL)
1995,09/07/1995,8,Huy (Belgium) to Seraing (Belgium),54.0 km (33.6 mi),Individual time trial,Miguel Induráin (ESP)
1995,11/07/1995,9,Le Grand-Bornand to La Plagne,160.0 km (99.4 mi),Stage with mountain(s),Alex Zülle (SUI)
1995,12/07/1995,10,La Plagne to Alpe d'Huez,162.5 km (101.0 mi),Stage with mountain(s),Marco Pantani (ITA)
1995,13/07/1995,11,Le Bourg-d'Oisans to Saint-Étienne,199.0 km (123.7 mi),Hilly stage,Maximilian Sciandri (GBR)
1995,14/07/1995,12,Saint-Étienne to Mende,222.5 km (138.3 mi),Hilly stage,Laurent Jalabert (FRA)
1995,15/07/1995,13,Mende to Revel,245.0 km (152.2 mi),Plain stage,Serhiy Utchakov (UKR)
1995,16/07/1995,14,Saint-Orens-de-Gameville to Guzet-Neige,164.0 km (101.9 mi),Stage with mountain(s),Marco Pantani (ITA)
1995,18/07/1995,15,Saint-Girons to Cauterets,206.0 km (128.0 mi),Stage with mountain(s),Richard Virenque (FRA)
1995,19/07/1995,16,Tarbes to Pau,149.0 km (92.6 mi),Stage with mountain(s),—[a]
1995,20/07/1995,17,Pau to Bordeaux,246.0 km (152.9 mi),Plain stage,Erik Zabel (GER)
1995,21/07/1995,18,Montpon-Ménestérol to Limoges,166.5 km (103.5 mi),Plain stage,Lance Armstrong (USA)
1995,22/07/1995,19,Lac de Vassivière,46.5 km (28.9 mi),Individual time trial,Miguel Induráin (ESP)
1995,23/07/1995,20,Sainte-Geneviève-des-Bois to Paris (Champs-Élysées),155.0 km (96.3 mi),Plain stage,Djamolidine Abdoujaparov (UZB)
1996,29/06/1996,P,'s-Hertogenbosch (Netherlands),9.4 km (5.8 mi),Individual time trial,Alex Zülle (SUI)
1996,30/06/1996,1,'s-Hertogenbosch (Netherlands),209.0 km (129.9 mi),Plain stage,Frédéric Moncassin (FRA)
1996,01/07/1996,2,'s-Hertogenbosch (Netherlands) to Wasquehal,247.5 km (153.8 mi),Plain stage,Mario Cipollini (ITA)
1996,02/07/1996,3,Wasquehal to Nogent-sur-Oise,195.0 km (121.2 mi),Plain stage,Erik Zabel (GER)
1996,03/07/1996,4,Soissons to Lac de Madine,232.0 km (144.2 mi),Plain stage,Cyril Saugrain (FRA)
1996,04/07/1996,5,Lac de Madine to Besançon,242.0 km (150.4 mi),Plain stage,Jeroen Blijlevens (NED)
1996,05/07/1996,6,Arc-et-Senans to Aix-les-Bains,207.0 km (128.6 mi),Hilly stage,Michael Boogerd (NED)
1996,06/07/1996,7,Chambéry to Les Arcs,200.0 km (124.3 mi),Stage with mountain(s),Luc Leblanc (FRA)
1996,07/07/1996,8,Bourg-Saint-Maurice to Val d'Isère,30.5 km (19.0 mi),Individual time trial,Evgueni Berzin (RUS)
1996,08/07/1996,9,Le Monêtier-les-Bains to Sestriere (Italy),46.0 km (28.6 mi),Stage with mountain(s),Bjarne Riis (DEN)
1996,09/07/1996,10,Turin (Italy) to Gap,208.5 km (129.6 mi),Hilly stage,Erik Zabel (GER)
1996,11/07/1996,11,Gap to Valence,202.0 km (125.5 mi),Hilly stage,José Jaime Gonzalez (COL)
1996,12/07/1996,12,Valence to Le Puy-en-Velay,143.5 km (89.2 mi),Hilly stage,Pascal Richard (SUI)
1996,13/07/1996,13,Le Puy-en-Velay to Super Besse,177.0 km (110.0 mi),Hilly stage,Rolf Sørensen (DEN)
1996,14/07/1996,14,Besse to Tulle,186.5 km (115.9 mi),Hilly stage,Djamolidine Abdoujaparov (UZB)
1996,15/07/1996,15,Brive-la-Gaillarde to Villeneuve-sur-Lot,176.0 km (109.4 mi),Plain stage,Massimo Podenzana (ITA)
1996,16/07/1996,16,Agen to Hautacam,199.0 km (123.7 mi),Stage with mountain(s),Bjarne Riis (DEN)
1996,17/07/1996,17,Argelès-Gazost to Pamplona (Spain),262.0 km (162.8 mi),Stage with mountain(s),Laurent Dufaux (SUI)
1996,18/07/1996,18,Pamplona (Spain) to Hendaye,154.5 km (96.0 mi),Hilly stage,Bart Voskamp (NED)
1996,19/07/1996,19,Hendaye to Bordeaux,226.5 km (140.7 mi),Plain stage,Frédéric Moncassin (FRA)
1996,20/07/1996,20,Bordeaux to Saint-Émilion,63.5 km (39.5 mi),Individual time trial,Jan Ullrich (GER)
1996,21/07/1996,21,Palaiseau to Paris (Champs-Élysées),147.5 km (91.7 mi),Plain stage,Fabio Baldato (ITA)
1997,05/07/1997,P,Rouen,7.3 km (4.5 mi),Individual time trial,Chris Boardman (GBR)
1997,06/07/1997,1,Rouen to Forges-les-Eaux,192.0 km (119.3 mi),Flat stage,Mario Cipollini (ITA)
1997,07/07/1997,2,Saint-Valery-en-Caux to Vire,262.0 km (162.8 mi),Flat stage,Mario Cipollini (ITA)
1997,08/07/1997,3,Vire to Plumelec,224.0 km (139.2 mi),Flat stage,Erik Zabel (GER)
1997,09/07/1997,4,Plumelec to Le Puy du Fou,223.0 km (138.6 mi),Flat stage,Nicola Minali (ITA)
1997,10/07/1997,5,Chantonnay to La Châtre,261.5 km (162.5 mi),Flat stage,Cédric Vasseur (FRA)
1997,11/07/1997,6,Le Blanc to Marennes,217.5 km (135.1 mi),Flat stage,Jeroen Blijlevens (NED)
1997,12/07/1997,7,Marennes to Bordeaux,194.0 km (120.5 mi),Flat stage,Erik Zabel (GER)
1997,13/07/1997,8,Sauternes to Pau,161.5 km (100.4 mi),Flat stage,Erik Zabel (GER)
1997,14/07/1997,9,Pau to Loudenvielle,182.0 km (113.1 mi),Mountain stage,Laurent Brochard (FRA)
1997,15/07/1997,10,Luchon to Andorra Arcalis,252.5 km (156.9 mi),Mountain stage,Jan Ullrich (GER)
1997,16/07/1997,11,Andorra Arcalis to Perpignan,192.0 km (119.3 mi),Hilly stage,Laurent Desbiens (FRA)
1997,18/07/1997,12,Saint-Étienne,55.0 km (34.2 mi),Individual time trial,Jan Ullrich (GER)
1997,19/07/1997,13,Saint-Étienne to Alpe d'Huez,203.5 km (126.4 mi),Mountain stage,Marco Pantani (ITA)
1997,20/07/1997,14,Le Bourg-d'Oisans to Courchevel,148.0 km (92.0 mi),Mountain stage,Richard Virenque (FRA)
1997,21/07/1997,15,Courchevel to Morzine,208.5 km (129.6 mi),Mountain stage,Marco Pantani (ITA)
1997,22/07/1997,16,Morzine to Fribourg (Switzerland),181.0 km (112.5 mi),Hilly stage,Christophe Mengin (FRA)
1997,23/07/1997,17,Fribourg (Switzerland) to Colmar,218.5 km (135.8 mi),Flat stage,Neil Stephens (AUS)
1997,24/07/1997,18,Colmar to Montbéliard,175.5 km (109.1 mi),Hilly stage,Didier Rous (FRA)
1997,25/07/1997,19,Montbéliard to Dijon,172.0 km (106.9 mi),Flat stage,Mario Traversoni (ITA)
1997,26/07/1997,20,Disneyland Paris,63.0 km (39.1 mi),Individual time trial,Abraham Olano (ESP)
1997,27/07/1997,21,Disneyland Paris to Paris (Champs-Élysées),149.5 km (92.9 mi),Flat stage,Nicola Minali (ITA)
1998,11/07/1998,P,Dublin (Ireland),5.6 km (3 mi),Individual time trial,Chris Boardman (GBR)
1998,12/07/1998,1,Dublin (Ireland),180.5 km (112 mi),Flat stage,Tom Steels (BEL)
1998,13/07/1998,2,Enniscorthy (Ireland) to Cork (Ireland),205.5 km (128 mi),Flat stage,Ján Svorada (CZE)
1998,14/07/1998,3,Roscoff to Lorient,169 km (105 mi),Flat stage,Jens Heppner (GER)
1998,15/07/1998,4,Plouay to Cholet,252 km (157 mi),Flat stage,Jeroen Blijlevens (NED)
1998,16/07/1998,5,Cholet to Châteauroux,228.5 km (142 mi),Flat stage,Mario Cipollini (ITA)
1998,17/07/1998,6,La Châtre to Brive-la-Gaillarde,204.5 km (127 mi),Flat stage,Mario Cipollini (ITA)
1998,18/07/1998,7,Meyrignac-l'Église to Corrèze,58 km (36 mi),Individual time trial,Jan Ullrich (GER)
1998,19/07/1998,8,Brive-la-Gaillarde to Montauban,190.5 km (118 mi),Flat stage,Jacky Durand (FRA)
1998,20/07/1998,9,Montauban to Pau,210 km (130 mi),Flat stage,Léon van Bon (NED)
1998,21/07/1998,10,Pau to Luchon,196.5 km (122 mi),High mountain stage,Rodolfo Massi (ITA)
1998,22/07/1998,11,Luchon to Plateau de Beille,170 km (106 mi),High mountain stage,Marco Pantani (ITA)
1998,24/07/1998,12,Tarascon-sur-Ariège to Cap d'Agde,190 km (118 mi)[a],Flat stage,Tom Steels (BEL)
1998,25/07/1998,13,Frontignan la Peyrade to Carpentras,196 km (122 mi),Flat stage,Daniele Nardello (ITA)
1998,26/07/1998,14,Valréas to Grenoble,186.5 km (116 mi),Mountain stage,Stuart O'Grady (AUS)
1998,27/07/1998,15,Grenoble to Les Deux Alpes,189 km (117 mi),High mountain stage,Marco Pantani (ITA)
1998,28/07/1998,16,Vizille to Albertville,204 km (127 mi),High mountain stage,Jan Ullrich (GER)
1998,29/07/1998,17,Albertville to Aix-les-Bains,149 km (93 mi),High mountain stage,—[b]
1998,30/07/1998,18,Aix-les-Bains to Neuchâtel (Switzerland),218.5 km (136 mi),Mountain stage,Tom Steels (BEL)
1998,31/07/1998,19,La Chaux-de-Fonds (Switzerland) to Autun,242 km (150 mi),Flat stage,Magnus Bäckstedt (SWE)
1998,01/08/1998,20,Montceau-les-Mines to Le Creusot,52 km (32 mi),Individual time trial,Jan Ullrich (GER)
1998,02/08/1998,21,Melun to Paris (Champs-Élysées),147.5 km (92 mi),Flat stage,Tom Steels (BEL)
1999,03/07/1999,P,Le Puy du Fou,6.8 km (4.2 mi),Individual time trial,Lance Armstrong (USA)[a]
1999,04/07/1999,1,Montaigu to Challans,208.0 km (129.2 mi),Plain stage,Jaan Kirsipuu (EST)
1999,05/07/1999,2,Challans to Saint-Nazaire,176.0 km (109.4 mi),Plain stage,Tom Steels (BEL)
1999,06/07/1999,3,Nantes to Laval,194.5 km (120.9 mi),Plain stage,Tom Steels (BEL)
1999,07/07/1999,4,Laval to Blois,194.5 km (120.9 mi),Plain stage,Mario Cipollini (ITA)
1999,08/07/1999,5,Bonneval to Amiens,233.5 km (145.1 mi),Plain stage,Mario Cipollini (ITA)
1999,09/07/1999,6,Amiens to Maubeuge,171.5 km (106.6 mi),Plain stage,Mario Cipollini (ITA)
1999,10/07/1999,7,Avesnes-sur-Helpe to Thionville,227.0 km (141.1 mi),Plain stage,Mario Cipollini (ITA)
1999,11/07/1999,8,Metz,56.5 km (35.1 mi),Individual time trial,Lance Armstrong (USA)[a]
1999,13/07/1999,9,Le Grand-Bornand to Sestrières,213.5 km (132.7 mi),Stage with mountain(s),Lance Armstrong (USA)[a]
1999,14/07/1999,10,Sestrières to Alpe d'Huez,220.5 km (137.0 mi),Stage with mountain(s),Giuseppe Guerini (ITA)
1999,15/07/1999,11,Le Bourg-d'Oisans to Saint-Étienne,198.5 km (123.3 mi),Hilly stage,Ludo Dierckxsens (BEL)
1999,16/07/1999,12,Saint-Galmier to Saint-Flour,201.5 km (125.2 mi),Hilly stage,David Etxebarria (ESP)
1999,17/07/1999,13,Saint-Flour to Albi,236.5 km (147.0 mi),Hilly stage,Salvatore Commesso (ITA)
1999,18/07/1999,14,Castres to Saint-Gaudens,199.0 km (123.7 mi),Plain stage,Dmitri Konychev (RUS)
1999,20/07/1999,15,Saint-Gaudens to Piau-Engaly,173.0 km (107.5 mi),Stage with mountain(s),Fernando Escartín (ESP)
1999,21/07/1999,16,Lannemezan to Pau,192.0 km (119.3 mi),Stage with mountain(s),David Etxebarria (ESP)
1999,22/07/1999,17,Mourenx to Bordeaux,200.0 km (124.3 mi),Plain stage,Tom Steels (BEL)
1999,23/07/1999,18,Jonzac to Futuroscope,187.5 km (116.5 mi),Plain stage,Giampaolo Mondini (ITA)
1999,24/07/1999,19,Futuroscope,57.0 km (35.4 mi),Individual time trial,Lance Armstrong (USA)[a]
1999,25/07/1999,20,Arpajon to Paris (Champs-Élysées),143.5 km (89.2 mi),Plain stage,Robbie McEwen (AUS)
2000,01/07/2000,1,Futuroscope,16.5 km (10.3 mi),Individual time trial,David Millar (GBR)
2000,02/07/2000,2,Futuroscope to Loudun,194.0 km (120.5 mi),Plain stage,Tom Steels (BEL)
2000,03/07/2000,3,Loudun to Nantes,161.5 km (100.4 mi),Plain stage,Tom Steels (BEL)
2000,04/07/2000,4,Nantes to Saint-Nazaire,70.0 km (43.5 mi),Team time trial,ONCE–Deutsche Bank
2000,05/07/2000,5,Vannes to Vitré,202.0 km (125.5 mi),Plain stage,Marcel Wüst (GER)
2000,06/07/2000,6,Vitré to Tours,198.5 km (123.3 mi),Plain stage,Léon van Bon (NED)
2000,07/07/2000,7,Tours to Limoges,205.5 km (127.7 mi),Plain stage,Christophe Agnolutto (FRA)
2000,08/07/2000,8,Limoges to Villeneuve-sur-Lot,203.5 km (126.4 mi),Plain stage,Erik Dekker (NED)
2000,09/07/2000,9,Agen to Dax,181.0 km (112.5 mi),Plain stage,Paolo Bettini (ITA)
2000,10/07/2000,10,Dax to Hautacam,205.0 km (127.4 mi),Stage with mountain(s),Javier Otxoa (ESP)
2000,11/07/2000,11,Bagnères-de-Bigorre to Revel,218.5 km (135.8 mi),Hilly stage,Erik Dekker (NED)
2000,13/07/2000,12,Carpentras to Mont Ventoux,149.0 km (92.6 mi),Stage with mountain(s),Marco Pantani (ITA)
2000,14/07/2000,13,Avignon to Draguignan,185.5 km (115.3 mi),Plain stage,José Vicente Garcia (ESP)
2000,15/07/2000,14,Draguignan to Briançon,249.5 km (155.0 mi),Stage with mountain(s),Santiago Botero (COL)
2000,16/07/2000,15,Briançon to Courchevel,173.5 km (107.8 mi),Stage with mountain(s),Marco Pantani (ITA)
2000,18/07/2000,16,Courchevel to Morzine,196.5 km (122.1 mi),Stage with mountain(s),Richard Virenque (FRA)
2000,19/07/2000,17,Évian-les-Bains to Lausanne,155.0 km (96.3 mi),Hilly stage,Erik Dekker (NED)
2000,20/07/2000,18,Lausanne to Freiburg (Germany),246.5 km (153.2 mi),Plain stage,Salvatore Commesso (ITA)
2000,21/07/2000,19,Freiburg (Germany) to Mulhouse,58.5 km (36.4 mi),Individual time trial,Lance Armstrong (USA)[a]
2000,22/07/2000,20,Belfort to Troyes,254.5 km (158.1 mi),Plain stage,Erik Zabel (GER)
2000,23/07/2000,21,Paris (Eiffel Tower)[12] to Paris (Champs-Élysées),138.0 km (85.7 mi),Plain stage,Stefano Zanini (ITA)
2001,07/07/2001,P,Dunkirk,8.2 km (5.1 mi),Individual time trial,Christophe Moreau (FRA)
2001,08/07/2001,1,Saint-Omer to Boulogne-sur-Mer,194.5 km (120.9 mi),Flat stage,Erik Zabel (GER)
2001,09/07/2001,2,Calais to Antwerp (Belgium),220.5 km (137.0 mi),Flat stage,Marc Wauters (BEL)
2001,10/07/2001,3,Antwerp (Belgium) to Seraing (Belgium),198.5 km (123.3 mi),Flat stage,Erik Zabel (GER)
2001,11/07/2001,4,Huy (Belgium) to Verdun,215.0 km (133.6 mi),Flat stage,Laurent Jalabert (FRA)
2001,12/07/2001,5,Verdun to Bar-le-Duc,67.0 km (41.6 mi),Team time trial,Crédit Agricole
2001,13/07/2001,6,Commercy to Strasbourg,211.5 km (131.4 mi),Flat stage,Jaan Kirsipuu (EST)
2001,14/07/2001,7,Strasbourg to Colmar,162.5 km (101.0 mi),Medium mountain stage,Laurent Jalabert (FRA)
2001,15/07/2001,8,Colmar to Pontarlier,222.5 km (138.3 mi),Flat stage,Erik Dekker (NED)
2001,16/07/2001,9,Pontarlier to Aix-les-Bains,185.0 km (115.0 mi),Flat stage,Serguei Ivanov (RUS)
2001,17/07/2001,10,Aix-les-Bains to Alpe d'Huez,209.0 km (129.9 mi),High mountain stage,Lance Armstrong (USA)[a]
2001,18/07/2001,11,Grenoble to Chamrousse,32.0 km (19.9 mi),Individual time trial,Lance Armstrong (USA)[a]
2001,20/07/2001,12,Perpignan to Plateau de Bonascre,166.5 km (103.5 mi),High mountain stage,Félix Cárdenas (COL)
2001,21/07/2001,13,Foix to Saint-Lary-Soulan Pla d'Adet,194.0 km (120.5 mi),High mountain stage,Lance Armstrong (USA)[a]
2001,22/07/2001,14,Tarbes to Luz Ardiden,141.5 km (87.9 mi),High mountain stage,Roberto Laiseka (ESP)
2001,24/07/2001,15,Pau to Lavaur,232.5 km (144.5 mi),Flat stage,Rik Verbrugghe (BEL)
2001,25/07/2001,16,Castelsarrasin to Sarran,229.5 km (142.6 mi),Flat stage,Jens Voigt (GER)
2001,26/07/2001,17,Brive-la-Gaillarde to Montluçon,194.0 km (120.5 mi),Flat stage,Serge Baguet (BEL)
2001,27/07/2001,18,Montluçon to Saint-Amand-Montrond,61.0 km (37.9 mi),Individual time trial,Lance Armstrong (USA)[a]
2001,28/07/2001,19,Orléans to Évry,149.5 km (92.9 mi),Flat stage,Erik Zabel (GER)
2001,29/07/2001,20,Corbeil-Essonnes to Paris (Champs-Élysées),160.5 km (99.7 mi),Flat stage,Ján Svorada (CZE)
2002,06/07/2002,P,Luxembourg City (Luxembourg),7.0 km (4.3 mi),Individual time trial,Lance Armstrong (USA)[a]
2002,07/07/2002,1,Luxembourg City (Luxembourg),192.5 km (119.6 mi),Plain stage,Rubens Bertogliati (SUI)
2002,08/07/2002,2,Luxembourg City (Luxembourg) to Saarbrücken (Germany),181.0 km (112.5 mi),Plain stage,Óscar Freire (ESP)
2002,09/07/2002,3,Metz to Reims,174.5 km (108.4 mi),Plain stage,Robbie McEwen (AUS)
2002,10/07/2002,4,Épernay to Château-Thierry,67.5 km (41.9 mi),Team time trial,ONCE–Eroski
2002,11/07/2002,5,Soissons to Rouen,195.0 km (121.2 mi),Plain stage,Jaan Kirsipuu (EST)
2002,12/07/2002,6,Forges-les-Eaux to Alençon,199.5 km (124.0 mi),Plain stage,Erik Zabel (GER)
2002,13/07/2002,7,Bagnoles-de-l'Orne to Avranches,176.0 km (109.4 mi),Plain stage,Bradley McGee (AUS)
2002,14/07/2002,8,Saint-Martin-de-Landelles to Plouay,217.5 km (135.1 mi),Plain stage,Karsten Kroon (NED)
2002,15/07/2002,9,Lanester to Lorient,52.0 km (32.3 mi),Individual time trial,Santiago Botero (COL)
2002,17/07/2002,10,Bazas to Pau,147.0 km (91.3 mi),Plain stage,Patrice Halgand (FRA)
2002,18/07/2002,11,Pau to La Mongie,158.0 km (98.2 mi),Stage with mountain(s),Lance Armstrong (USA)[a]
2002,19/07/2002,12,Lannemezan to Plateau de Beille,199.5 km (124.0 mi),Stage with mountain(s),Lance Armstrong (USA)[a]
2002,20/07/2002,13,Lavelanet to Béziers,171.0 km (106.3 mi),Plain stage,David Millar (GBR)
2002,21/07/2002,14,Lodève to Mont Ventoux,221.0 km (137.3 mi),Stage with mountain(s),Richard Virenque (FRA)
2002,23/07/2002,15,Vaison-la-Romaine to Les Deux Alpes,226.5 km (140.7 mi),Hilly stage,Santiago Botero (COL)
2002,24/07/2002,16,Les Deux Alpes to La Plagne,179.5 km (111.5 mi),Stage with mountain(s),Michael Boogerd (NED)
2002,25/07/2002,17,Aime to Cluses,142.0 km (88.2 mi),Stage with mountain(s),Dario Frigo (ITA)
2002,26/07/2002,18,Cluses to Bourg-en-Bresse,176.5 km (109.7 mi),Hilly stage,Thor Hushovd (NOR)
2002,27/07/2002,19,Régnié-Durette to Mâcon,50.0 km (31.1 mi),Individual time trial,Lance Armstrong (USA)[a]
2002,28/07/2002,20,Melun to Paris (Champs-Élysées),144.0 km (89.5 mi),Plain stage,Robbie McEwen (AUS)
2003,05/07/2003,P,Paris,6.5 km (4.0 mi),Individual time trial,Bradley McGee (AUS)
2003,06/07/2003,1,Saint-Denis to Meaux,168.0 km (104.4 mi),Flat stage,Alessandro Petacchi (ITA)
2003,07/07/2003,2,La Ferté-sous-Jouarre to Sedan,204.5 km (127.1 mi),Flat stage,Baden Cooke (AUS)
2003,08/07/2003,3,Charleville-Mézières to Saint-Dizier,167.5 km (104.1 mi),Flat stage,Alessandro Petacchi (ITA)
2003,09/07/2003,4,Joinville to Saint-Dizier,69.0 km (42.9 mi),Team time trial,U.S. Postal Service (USA)
2003,10/07/2003,5,Troyes to Nevers,196.5 km (122.1 mi),Flat stage,Alessandro Petacchi (ITA)
2003,11/07/2003,6,Nevers to Lyon,230.0 km (142.9 mi),Flat stage,Alessandro Petacchi (ITA)
2003,12/07/2003,7,Lyon to Morzine,230.5 km (143.2 mi),Mountain Stage (s),Richard Virenque (FRA)
2003,13/07/2003,8,Sallanches to Alpe d'Huez,219.0 km (136.1 mi),Mountain Stage (s),Iban Mayo (ESP)
2003,14/07/2003,9,Le Bourg-d'Oisans to Gap,184.5 km (114.6 mi),Mountain Stage (s),Alexander Vinokourov (KAZ)
2003,15/07/2003,10,Gap to Marseille,219.5 km (136.4 mi),Flat stage,Jakob Piil (DEN)
2003,17/07/2003,11,Narbonne to Toulouse,153.5 km (95.4 mi),Flat stage,Juan Antonio Flecha (ESP)
2003,18/07/2003,12,Gaillac to Cap Découverte,47.0 km (29.2 mi),Individual time trial,Jan Ullrich (GER)
2003,19/07/2003,13,Toulouse to Ax 3 Domaines,197.5 km (122.7 mi),Mountain Stage (s),Carlos Sastre (ESP)
2003,20/07/2003,14,Saint-Girons to Loudenvielle,191.5 km (119.0 mi),Mountain Stage (s),Gilberto Simoni (ITA)
2003,21/07/2003,15,Bagnères-de-Bigorre to Luz Ardiden,159.5 km (99.1 mi),Mountain Stage (s),Lance Armstrong (USA)[a]
2003,23/07/2003,16,Pau to Bayonne,197.5 km (122.7 mi),Hilly stage,Tyler Hamilton (USA)
2003,24/07/2003,17,Dax to Bordeaux,181.0 km (112.5 mi),Flat stage,Servais Knaven (NED)
2003,25/07/2003,18,Bordeaux to Saint-Maixent-l'École,203.5 km (126.4 mi),Flat stage,Pablo Lastras (ESP)
2003,26/07/2003,19,Pornic to Nantes,49.0 km (30.4 mi),Individual time trial,David Millar (GBR)
2003,27/07/2003,20,Ville-d'Avray to Paris (Champs-Élysées),152.0 km (94.4 mi),Flat stage,Jean-Patrick Nazon (FRA)
2004,03/07/2004,P,Liège (Belgium),6.1 km (3.8 mi),Individual time trial,Fabian Cancellara (SUI)
2004,04/07/2004,1,Liège (Belgium) to Charleroi (Belgium),202.5 km (125.8 mi),Plain stage,Jaan Kirsipuu (EST)
2004,05/07/2004,2,Charleroi (Belgium) to Namur (Belgium),197.0 km (122.4 mi),Plain stage,Robbie McEwen (AUS)
2004,06/07/2004,3,Waterloo (Belgium) to Wasquehal,210.0 km (130.5 mi),Plain stage,Jean-Patrick Nazon (FRA)
2004,07/07/2004,4,Cambrai to Arras,64.5 km (40.1 mi),Team time trial,U.S. Postal Service (USA)
2004,08/07/2004,5,Amiens to Chartres,200.5 km (124.6 mi),Plain stage,Stuart O'Grady (AUS)
2004,09/07/2004,6,Bonneval to Angers,196.0 km (121.8 mi),Plain stage,Tom Boonen (BEL)
2004,10/07/2004,7,Châteaubriant to Saint-Brieuc,204.5 km (127.1 mi),Plain stage,Filippo Pozzato (ITA)
2004,11/07/2004,8,Lamballe to Quimper,168.0 km (104.4 mi),Plain stage,Thor Hushovd (NOR)
2004,13/07/2004,9,Saint-Léonard-de-Noblat to Guéret,160.5 km (99.7 mi),Plain stage,Robbie McEwen (AUS)
2004,14/07/2004,10,Limoges to Saint-Flour,237.0 km (147.3 mi),Hilly stage,Richard Virenque (FRA)
2004,15/07/2004,11,Saint-Flour to Figeac,164.0 km (101.9 mi),Hilly stage,David Moncoutié (FRA)
2004,16/07/2004,12,Castelsarrasin to La Mongie,197.5 km (122.7 mi),Mountain stage,Ivan Basso (ITA)
2004,17/07/2004,13,Lannemezan to Plateau de Beille,205.5 km (127.7 mi),Mountain stage,Lance Armstrong (USA)[a]
2004,18/07/2004,14,Carcassonne to Nîmes,192.5 km (119.6 mi),Plain stage,Aitor González (ESP)
2004,20/07/2004,15,Valréas to Villard-de-Lans,180.5 km (112.2 mi),Mountain stage,Lance Armstrong (USA)[a]
2004,21/07/2004,16,Le Bourg-d'Oisans to Alpe d'Huez,15.5 km (9.6 mi),Individual time trial,Lance Armstrong (USA)[a]
2004,22/07/2004,17,Le Bourg-d'Oisans to Le Grand-Bornand,204.5 km (127.1 mi),Mountain stage,Lance Armstrong (USA)[a]
2004,23/07/2004,18,Annemasse to Lons-le-Saunier,166.5 km (103.5 mi),Hilly stage,Juan Miguel Mercado (ESP)
2004,24/07/2004,19,Besançon to Besançon,55.0 km (34.2 mi),Individual time trial,Lance Armstrong (USA)[a]
2004,25/07/2004,20,Montereau-Fault-Yonne to Paris (Champs-Élysées),163.0 km (101.3 mi),Plain stage,Tom Boonen (BEL)
2005,02/07/2005,1,Fromentine to Noirmoutier-en-l'Île,19.0 km (11.8 mi),Individual time trial,David Zabriskie (USA)
2005,03/07/2005,2,Challans to Les Essarts,181.5 km (112.8 mi),Plain stage,Tom Boonen (BEL)
2005,04/07/2005,3,La Châtaigneraie to Tours,212.5 km (132.0 mi),Plain stage,Tom Boonen (BEL)
